3329,112,3288,1588
3361,46,3330,1642
3373,60,3338,1639
3389,96,3366,1635
3413,64,3398,1667
3433,66,3398,1666
3449,42,3380,1669
3457,32,3334,1651
3461,152,3452,1650
3469,68,3448,1690
3517,38,3396,1679
3529,54,3496,1721
3533,28,3524,1748
3541,64,3514,1725
3557,22,3470,1724
3581,106,3556,1725
3593,36,3536,1750
3613,48,3604,1778
3617,68,3606,1769
3637,82,3620,1769
3673,34,3648,1807
3677,10,3634,1812
3697,72,3670,1799
3701,42,3692,1825
3709,56,3678,1811
3733,110,3730,1810
3761,62,3742,1840
3769,8,3730,1861
3793,70,3784,1857
3797,204,3764,1780
3821,28,3804,1888
3833,22,3732,1855
3853,60,3850,1895
3877,48,3866,1909
3881,44,3876,1916
3889,60,3852,1896
3917,54,3908,1927
3929,48,3910,1931
3989,38,3968,1965
4001,144,3992,1924
4013,14,3998,1992
4021,80,4012,1966
4049,68,4044,1988
4057,96,4024,1964
4073,116,4028,1956
4093,90,4040,1975
4129,120,4026,1953
4133,116,4106,1995
4153,46,4144,2049
4157,88,4124,2018
4177,108,4158,2025
4201,80,4166,2043
4217,22,4186,2082
4229,78,4180,2051
4241,80,4196,2058
4253,46,4224,2089
4261,34,4246,2106
4273,38,4164,2063
4289,26,4206,2090
4297,48,4288,2120
4337,116,4306,2095
4349,130,4320,2095
4357,36,4354,2159
4373,6,4260,2127
4397,10,4336,2163
4409,110,4404,2147
4421,36,4336,2150
4441,48,4256,2104
4457,122,4396,2137
4481,2,4460,2229
4493,66,4416,2175
4513,92,4426,2167
4517,46,4474,2214
4549,166,4544,2189
4561,56,4530,2237
4597,8,4492,2242
4621,34,4550,2258
4637,30,4564,2267
4649,24,4614,2295
4657,32,4630,2299
4673,64,4664,2300
4721,46,4674,2314
4729,18,4672,2327
4733,62,4628,2283
4789,44,4732,2344
4793,88,4784,2348
4801,24,4690,2333
4813,10,4756,2373
4817,8,4802,2397
4861,156,4830,2337
4877,64,4830,2383
4889,196,4884,2344
4909,104,4888,2392
4933,202,4920,2359
4937,56,4922,2433
4957,48,4944,2448
4969,36,4950,2457
4973,40,4824,2392
4993,108,4978,2435
5009,138,4916,2389
5021,42,4904,2431
5077,146,5036,2445
5081,30,5060,2515
5101,174,5074,2450
5113,32,4996,2482
5153,126,5094,2484
5189,20,5088,2534
5197,44,5194,2575
5209,100,5174,2537
5233,24,5158,2567
5237,64,5222,2579
5261,34,5212,2589
5273,58,5226,2584
5281,2,5226,2612
5297,72,5232,2580
5309,88,5282,2597
5333,40,5306,2633
5381,46,5368,2661
5393,148,5390,2621
5413,64,5364,2650
5417,94,5366,2636
5437,122,5398,2638
5441,24,5340,2658
5449,40,5424,2692
5477,104,5464,2680
5501,88,5412,2662
5521,64,5494,2715
5557,62,5520,2729
5569,80,5520,2720
5573,28,5452,2712
5581,94,5500,2703
5641,64,5622,2779
5653,104,5628,2762
5657,56,5584,2764
5669,42,5620,2789
5689,58,5678,2810
5693,106,5662,2778
5701,118,5690,2786
5717,94,5664,2785
